season,recent_team,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
1999,ARI,1,25,48,274,1,3,1,8,0,0,0,0,15,0,36,78,1,1,1,6,0,25,47,274,1,1,0,0,0,15,0,0,54.16,79.16
1999,ARI,2,12,28,138,0,4,2,18,0,0,0,0,5,0,28,64,0,0,0,3,0,12,28,138,0,0,0,0,0,5,0,0,17.72,29.72
1999,ARI,3,16,31,176,0,2,5,27,1,0,0,0,9,0,29,101,1,1,0,8,0,16,29,176,0,1,1,0,0,9,0,0,34.74,50.739999999999995
1999,ARI,4,20,38,141,1,3,1,4,0,0,0,0,8,0,21,71,0,0,0,2,0,20,38,141,1,0,0,0,0,8,0,0,30.84,50.84
1999,ARI,5,17,27,197,1,0,4,22,0,0,0,0,11,0,26,32,1,0,0,2,0,17,27,197,1,0,0,0,0,11,0,0,46.78,63.78
1999,ARI,6,20,43,216,1,3,2,9,0,0,0,0,12,0,20,67,0,0,0,2,0,20,40,216,1,0,0,0,0,12,0,0,40.94,60.94
1999,ARI,8,13,39,111,0,2,3,21,0,0,0,0,4,0,19,76,0,0,0,4,0,13,39,111,0,0,0,0,0,4,0,0,19.14,32.14
1999,ARI,9,16,26,199,0,0,6,48,2,0,0,0,6,0,18,55,1,0,0,4,0,16,26,199,0,1,1,0,0,6,0,0,37.36,53.36
1999,ARI,10,16,30,209,0,0,3,25,0,0,0,0,9,0,31,157,2,2,1,7,0,16,29,209,0,0,0,0,0,9,0,0,54.96,70.96000000000001
1999,ARI,11,13,29,115,1,2,2,10,0,0,0,0,6,0,30,102,0,0,0,7,0,13,25,115,1,1,0,0,0,6,0,0,32.3,45.3
1999,ARI,12,23,35,251,2,0,4,29,2,1,0,0,13,0,34,69,1,1,0,8,0,23,35,251,2,0,0,0,0,13,0,0,66.03999999999999,89.03999999999999
1999,ARI,13,20,38,179,1,1,1,6,1,0,0,0,9,0,19,54,1,1,0,4,0,20,37,179,1,2,1,0,0,9,0,0,42.46,62.46
1999,ARI,14,14,30,140,0,2,5,27,1,0,0,0,6,0,14,53,0,1,1,1,0,14,29,140,0,0,0,0,0,6,0,0,18.9,32.9
1999,ARI,15,11,30,119,1,1,2,11,0,0,0,0,7,0,21,70,2,0,0,5,0,11,28,119,1,0,0,0,0,7,0,0,43.660000000000004,54.66
1999,ARI,16,15,26,217,0,2,1,5,0,0,0,0,7,0,23,70,2,1,0,7,0,15,24,217,0,0,0,0,0,7,0,0,45.379999999999995,60.379999999999995
1999,ARI,17,35,57,396,2,3,3,12,0,0,0,0,22,0,24,80,1,1,1,7,0,35,56,396,2,1,0,0,0,22,0,0,81.44,116.44
1999,ATL,1,18,31,290,1,0,2,12,1,1,0,0,16,0,23,81,1,0,0,3,0,18,31,290,1,1,1,0,11,16,0,0,60.7,78.7
1999,ATL,2,16,38,262,1,3,4,23,1,1,0,0,11,0,24,85,0,1,0,2,0,16,34,262,1,0,0,0,0,11,0,0,47.18,63.18
1999,ATL,3,18,30,174,1,1,2,15,0,0,0,0,10,0,22,68,0,1,0,2,0,18,30,174,1,0,0,0,0,10,0,0,39.160000000000004,57.16
1999,ATL,4,23,44,238,1,0,2,11,1,1,0,0,14,0,26,52,0,1,1,4,0,23,42,238,1,1,1,0,0,14,0,0,42.519999999999996,65.52
1999,ATL,5,11,20,162,1,0,3,15,1,1,0,0,4,0,33,104,1,2,1,8,0,11,19,162,1,0,0,0,0,4,0,0,45.08,56.08
1999,ATL,6,20,36,294,1,2,4,24,0,0,0,0,14,0,18,46,0,1,1,2,0,20,34,294,1,0,0,0,0,14,0,0,49.76,69.76
1999,ATL,7,20,34,233,1,1,7,46,0,0,0,0,14,0,24,48,0,1,0,1,0,20,31,233,1,0,0,0,0,14,0,0,45.42,65.42
1999,ATL,8,14,21,201,2,0,3,25,0,0,0,0,10,0,32,107,1,0,0,9,0,14,21,201,2,0,0,0,0,10,0,0,64.84,78.84
1999,ATL,9,17,28,203,1,2,9,63,0,0,0,0,9,0,11,42,0,0,0,1,0,17,26,203,1,1,0,0,0,9,0,0,38.62,55.62
1999,ATL,11,14,25,109,0,2,2,17,0,0,0,0,4,0,24,76,1,1,0,5,0,14,25,109,0,0,0,0,0,4,0,0,24.86,38.86
1999,ATL,12,24,42,315,4,0,4,36,1,1,0,0,16,0,14,53,0,0,0,3,0,24,40,315,4,0,0,0,0,16,0,0,87.4,111.4
1999,ATL,13,15,25,233,2,3,0,0,0,0,0,0,10,0,28,128,2,0,0,9,0,15,21,233,2,0,0,0,0,10,0,0,71.42,86.42
1999,ATL,14,9,27,106,0,1,5,39,0,0,0,0,4,0,12,38,0,0,0,1,0,9,27,106,0,0,0,0,0,4,0,1,22.64,31.64
1999,ATL,15,24,43,310,2,3,2,19,0,0,0,0,17,0,18,47,0,3,3,2,0,24,42,310,2,0,0,0,0,17,0,0,56.1,80.1
1999,ATL,16,14,23,230,1,0,0,0,0,0,0,0,10,0,39,163,3,1,0,11,0,14,23,230,1,0,0,0,0,10,0,0,76.5,90.5
1999,ATL,17,18,34,302,3,0,0,0,0,0,0,0,15,0,21,37,0,1,0,3,0,18,34,302,3,0,0,0,0,15,0,1,81.98,99.98
1999,BAL,2,14,31,178,1,2,2,11,1,1,0,0,8,0,26,83,1,0,0,3,0,14,31,178,1,0,0,0,0,8,0,0,43.22,57.22
1999,BAL,3,12,25,165,0,3,4,15,0,0,0,0,6,0,36,183,1,0,0,9,0,12,22,165,0,0,0,0,0,6,0,0,41.4,53.4
1999,BAL,4,13,27,192,2,0,5,29,0,0,0,0,9,0,34,144,0,0,0,8,0,13,27,192,2,0,0,0,0,9,0,0,61.28,74.28
1999,BAL,5,14,35,194,0,0,3,29,0,0,0,0,7,0,26,68,0,1,1,5,0,14,35,194,0,0,0,0,0,7,0,0,31.96,45.96
1999,BAL,7,23,51,172,0,3,0,0,0,0,0,0,7,0,27,105,1,0,0,8,1,23,49,172,0,0,0,0,0,7,0,0,36.58,59.58
1999,BAL,8,13,34,129,1,1,3,11,0,0,0,0,9,0,27,82,0,1,1,3,0,13,32,129,1,0,0,0,0,9,0,0,32.26,45.26
1999,BAL,9,14,25,129,1,0,2,17,0,0,0,0,9,0,38,203,3,0,0,11,0,14,25,129,1,0,0,0,0,9,0,0,66.36,80.36
1999,BAL,10,17,33,176,0,0,4,22,1,0,0,0,8,0,24,88,0,0,0,4,0,17,32,176,0,1,1,0,0,8,0,0,31.439999999999998,48.44
1999,BAL,11,24,40,274,2,1,7,49,2,1,0,0,10,0,26,56,1,0,0,4,0,24,38,274,2,0,0,0,0,10,0,0,65.96000000000001,89.96000000000001
1999,BAL,12,17,34,214,2,1,3,15,2,2,0,0,11,0,22,81,0,0,0,3,0,17,34,214,2,1,0,0,0,11,0,0,52.06,69.06
1999,BAL,13,18,31,332,4,0,1,0,1,1,0,0,12,0,22,116,0,0,0,4,0,18,30,332,4,0,0,0,0,12,0,0,96.08,114.08
1999,BAL,14,8,26,268,3,0,4,26,2,0,0,0,6,0,25,132,1,1,0,3,0,8,26,268,3,0,0,0,0,6,0,0,86.72,94.72
1999,BAL,15,23,38,264,2,4,5,24,0,0,0,0,12,0,24,61,0,0,0,2,0,23,35,264,2,0,0,0,0,12,0,0,55.06,78.06
1999,BAL,16,14,32,178,1,1,1,6,0,0,0,0,7,0,31,129,0,0,0,6,0,14,31,178,1,0,0,0,0,7,0,0,45.82,59.82
1999,BAL,17,26,40,251,0,2,7,57,1,1,0,0,14,0,23,119,0,0,0,8,0,26,40,251,0,1,1,0,0,14,0,0,39.04,65.03999999999999
1999,BUF,1,22,42,300,1,2,5,26,1,1,0,0,15,0,15,47,0,0,0,1,1,22,42,300,1,0,0,0,0,15,0,0,52.7,74.7
1999,BUF,2,14,24,153,0,0,0,0,0,0,0,0,10,0,46,210,2,2,1,10,0,14,23,153,0,0,0,0,0,10,0,0,52.42,66.42
1999,BUF,3,20,29,195,1,1,1,9,0,0,0,0,13,0,40,191,1,2,0,11,0,20,29,195,1,0,0,0,0,13,0,0,60.4,80.4
1999,BUF,4,12,25,186,1,0,1,9,0,0,0,0,6,0,27,73,0,0,0,4,0,12,25,186,1,0,0,0,0,6,0,0,43.34,55.34
1999,BUF,5,21,31,261,3,0,2,7,0,0,0,0,15,0,33,111,0,1,1,8,0,21,31,261,3,0,0,0,94,15,0,0,75.64,96.64
1999,BUF,6,19,40,210,1,2,1,9,0,0,0,0,9,0,13,109,1,0,0,5,0,19,39,210,1,0,0,0,66,9,0,0,52.3,71.3
1999,BUF,7,24,49,294,2,1,3,40,1,1,0,0,13,0,25,98,0,0,0,9,0,24,49,294,2,0,0,0,1,13,0,0,66.96,90.96
1999,BUF,8,16,38,136,0,3,2,9,0,0,0,0,7,0,29,111,0,0,0,7,0,16,38,136,0,0,0,0,0,7,0,0,24.14,40.14
1999,BUF,9,16,22,211,2,0,1,2,0,0,0,0,12,0,49,204,2,0,0,12,0,16,22,211,2,0,0,0,0,12,0,0,81.94,97.94
1999,BUF,10,10,20,157,1,0,0,0,0,0,0,0,8,0,46,162,1,0,0,8,0,10,19,157,1,0,0,0,0,8,0,0,54.18,64.18
1999,BUF,11,22,40,220,1,2,2,15,1,1,0,0,10,0,17,68,0,1,0,2,0,22,39,220,1,0,0,0,0,10,0,0,41.6,63.599999999999994
1999,BUF,12,9,16,207,2,0,0,0,0,0,0,0,7,0,35,92,0,2,1,4,0,9,15,207,2,0,0,0,0,7,0,0,56.18,65.18
1999,BUF,14,15,32,184,1,1,3,23,1,1,0,0,8,0,28,76,1,0,0,5,0,15,32,184,1,0,0,0,0,8,0,0,45.36,60.36
1999,BUF,15,21,31,239,2,2,2,22,0,0,0,0,12,0,41,159,1,0,0,13,0,21,29,239,2,0,0,0,0,12,0,1,77.36,98.36
1999,BUF,16,22,35,212,0,0,3,6,0,0,0,0,11,0,41,168,1,2,2,10,0,22,35,212,0,1,1,0,0,11,0,0,46.480000000000004,68.48
1999,BUF,17,24,32,287,2,0,0,0,0,0,0,0,15,0,31,132,2,0,0,7,0,24,32,287,2,0,0,0,0,15,0,0,85.38,109.38
1999,BUF,18,10,22,131,0,0,6,34,2,1,0,0,6,0,27,123,2,0,0,6,0,10,22,131,0,0,0,0,0,6,0,0,40.64,50.64
1999,CAR,1,16,32,207,1,1,7,46,1,1,0,0,9,0,16,85,0,0,0,3,0,16,30,207,1,0,0,0,0,9,0,0,43.48,59.48
1999,CAR,2,15,25,200,3,1,4,20,0,0,0,0,10,0,18,87,0,0,0,5,0,15,24,200,3,0,0,0,0,10,0,0,64.7,79.7
1999,CAR,3,17,23,204,1,0,1,7,1,0,0,0,10,0,18,146,2,1,1,3,0,17,22,204,1,0,0,0,0,10,0,0,63.160000000000004,80.16
1999,CAR,4,23,47,334,1,1,2,6,0,0,0,0,16,0,19,155,3,0,0,7,0,23,46,337,1,0,0,0,12,16,0,0,88.56,111.56
1999,CAR,6,23,36,300,4,3,2,18,0,0,0,0,14,0,27,101,0,1,1,4,0,23,36,300,4,0,0,0,89,14,0,0,84.1,107.1
1999,CAR,7,26,47,299,0,1,4,40,1,1,0,0,14,0,21,61,0,0,0,5,0,26,47,299,0,1,0,0,0,14,0,0,43.96,69.96
1999,CAR,8,21,35,256,0,3,5,23,0,0,0,0,12,0,18,63,1,1,1,4,0,21,32,256,0,0,0,0,0,12,0,1,46.14,67.14
